Id,CourierId,StatusId,StatusDate,Remark,TimeStamp,status
1,257,20,2017-12-19 09:55:00.000,Load arrived lately,0x000000000003F084,NULL
2,261,1,2017-12-20 14:15:00.000,NULL,0x000000000003F003,NULL
5,295,1,2017-12-22 20:20:00.000,NULL,0x000000000003F083,NULL
10,274,7,2017-12-22 04:00:00.000,NULL,0x000000000003F097,NULL
12,270,7,2017-12-23 13:19:00.000,NULL,0x000000000003F0A9,NULL
13,298,7,2017-12-23 10:00:00.000,NULL,0x000000000003F0AD,NULL
14,251,2,2017-12-19 22:50:00.000,NULL,0x000000000003F0B8,NULL
15,251,7,2017-12-23 13:51:00.000,NULL,0x000000000003F0BA,NULL
16,251,1,2017-12-23 13:50:00.000,NULL,0x000000000003F0BC,NULL
17,251,7,2017-12-23 13:50:00.000,NULL,0x000000000003F0BF,NULL
18,262,2,2017-12-20 22:05:00.000,NULL,0x000000000003F0C2,NULL
19,267,15,2017-12-25 12:25:00.000,NULL,0x000000000003F0C4,NULL
20,267,7,2017-12-25 14:05:00.000,NULL,0x000000000003F0C6,NULL
21,266,2,2017-12-20 20:00:00.000,NULL,0x000000000003F0C8,NULL
22,266,7,2017-12-21 18:45:00.000,NULL,0x000000000003F0CB,NULL
23,265,7,2017-12-21 12:10:00.000,NULL,0x000000000003F0CF,NULL
24,268,7,2017-12-23 11:00:00.000,NULL,0x000000000003F0D2,NULL
25,297,6,2017-12-24 11:20:00.000,NULL,0x000000000003F0D8,NULL
26,193,15,2017-12-21 17:15:00.000,NULL,0x000000000003F0F5,NULL
27,318,2,2017-12-26 20:00:00.000,NULL,0x000000000003F0FC,NULL
28,318,7,2017-12-22 02:25:00.000,NULL,0x000000000003F0FE,NULL
29,317,2,2017-12-26 20:50:00.000,NULL,0x000000000003F101,NULL
30,316,2,2017-12-26 20:50:00.000,NULL,0x000000000003F103,NULL
31,310,2,2017-12-26 20:00:00.000,NULL,0x000000000003F105,NULL
32,315,2,NULL,NULL,0x000000000003F108,NULL
33,314,2,NULL,NULL,0x000000000003F10A,NULL
34,309,2,NULL,NULL,0x000000000003F10C,NULL
35,308,2,NULL,NULL,0x000000000003F10E,NULL
36,306,2,NULL,NULL,0x000000000003F110,NULL
37,305,2,NULL,NULL,0x000000000003F112,NULL
38,304,3,NULL,Address in shot,0x000000000003F113,NULL
39,304,3,NULL,Nigeria  Address is shot / Need city Name,0x000000000003F114,NULL
40,301,15,2017-12-26 09:45:00.000,NULL,0x000000000003F116,NULL
41,300,6,2017-12-27 09:10:00.000,"Wed,27th Dec'17|09:08 Hrs---->	Received At Facility....>Panjim",0x000000000003F11A,NULL
42,305,6,2017-12-27 13:45:00.000,"Basheerbagh	Branch: Wrong Pincode, Will Impact Delivery	27-Dec-2017	13:45",0x000000000003F11C,NULL
43,297,7,NULL,"ELAYARAJA - Wednesday, December 27, 2017 at 09:12",0x000000000003F11E,NULL
44,312,15,NULL,"Wed,27th Dec'17|13:02 Hrs	Out For Delivery			Cochin",0x000000000003F121,NULL
45,307,15,NULL,"Wed,27th Dec'17|11:40 Hrs	Out For Delivery	> Cuddapah Super Franchisee",0x000000000003F123,NULL
46,259,6,NULL,"Scheduled for delivery as agreed	>WEST PHILADELPHIA, PA - USA	>16:50	> 1 Piece",0x000000000003F125,NULL
47,258,7,2017-12-27 10:15:00.000,Signature > Self >27-12-2017 10:15,0x000000000003F127,NULL
48,268,15,NULL,"Thru Franchisee Delivery  on :Sat,23rd Dec'17 | 06:45hrs",0x000000000003F12B,NULL
49,295,15,NULL,"Herne-Boernig,  Germany	: 27/12/2017	5:29	Out for Delivery",0x000000000003F12E,NULL
50,301,15,NULL,Dec 27 2017 10:23:22	Kanchipuram	Out for Delivery - Area : Kanchipuram,0x000000000003F12F,NULL
51,306,6,NULL,Shipment Arrived	> 27-Dec-2017	13:53,0x000000000003F131,NULL
52,306,15,NULL,Shipment Out For Delivery	27-Dec-2017	14:41,0x000000000003F133,NULL
53,308,2,NULL,Shipment Further Connected	27-Dec-2017	13:37,0x000000000003F135,NULL
54,309,2,NULL,Dec 27 2017 07:05:24	Kumbakonam	Received at Kumbakonam,0x000000000003F136,NULL
55,310,7,NULL,Signed by  Vipin >27 December 2017 > 12:10,0x000000000003F138,NULL
56,312,7,NULL,Successfully Delivered To  MELANGE >   27-12-2017 14:51,0x000000000003F13A,NULL
57,314,15,NULL,"Wed,27th Dec'17 | 07:32hrs",0x000000000003F13E,NULL
58,314,3,NULL,"Attempted	Wed,27th Dec'17 | 14:54hrs	Not Delivered [WRONG/INCORRECT ADDRESS]",0x000000000003F140,NULL
59,316,2,NULL,"Tue, 26th Dec'17 | 23:30hrs	Bag Manifest Made To TRIVANDRUM BRANCH",0x000000000003F141,NULL
60,315,2,NULL,"Wed,27th Dec'17|10:20 Hrs	Received At Hub			Pune Hub",0x000000000003F142,NULL
61,317,2,2017-12-27 10:45:00.000,NULL,0x000000000003F145,NULL
62,317,7,2017-12-27 15:45:00.000,Seal and sign,0x000000000003F149,NULL
63,295,7,2017-12-27 12:00:00.000,Received By:  NAMANANTHAN  > 27/12/2017  12.00,0x000000000003F151,NULL
64,306,7,2017-12-27 17:25:00.000,Received By:  Renuka 27.12.17   / 17.25,0x000000000003F154,NULL
65,307,7,NULL,Signature > Self >27-12-2017 18:21:50,0x000000000003F156,NULL
66,319,2,NULL,27 December 2017 19:54	Shipment received at TNT location,0x000000000003F159,NULL
67,322,33,NULL," Forward to Vijayawada   Wed,27th Dec'17 | 19:20hrs",0x000000000003F15C,NULL
68,322,2,NULL,"Wed,27th Dec'17 | 19:45hrs",0x000000000003F15E,NULL
69,315,2,NULL,"Wed,27th Dec'17 | 18:41hrs Received And Scanned To WALUJ BRANCH",0x000000000003F15F,NULL
70,321,33,2017-12-27 20:20:00.000,NULL,0x000000000003F164,NULL
71,321,2,NULL,"Wed,27th Dec'17 | 20:30hrs  To KRISHNAGIRI BRANCH",0x000000000003F166,NULL
72,323,2,NULL,27.12.2017 forwad to delivery area,0x000000000003F169,NULL
73,323,15,NULL,NULL,0x000000000003F16B,NULL
74,323,15,NULL,28.12.2017  Bike delivery 10.11 am,0x000000000003F16C,NULL
75,323,7,2017-12-28 11:40:00.000,Received by Vivakakandan 9445391580,0x000000000003F16E,NULL
76,324,33,2017-12-27 20:05:00.000,NULL,0x000000000003F171,NULL
77,323,33,2017-12-27 08:15:00.000,NULL,0x000000000003F174,NULL
78,324,15,2017-12-28 10:05:00.000,NULL,0x000000000003F17A,NULL
79,324,7,2017-12-28 10:18:00.000,Received by Purusothaman /  Topay Amount collected,0x000000000003F179,NULL
80,259,7,2017-12-27 11:30:00.000,Signed for by: PARKER,0x000000000003F17E,NULL
81,262,2,2017-12-23 13:00:00.000,"From Mumbai to Baramathi ",0x000000000003F17F,NULL
82,263,2,2017-12-20 21:15:00.000,"From Chennai RO to Ahamadabad RO ",0x000000000003F180,NULL
83,263,2,2017-12-22 11:55:00.000,From Ahamadabad RO  to Sannad hub,0x000000000003F181,NULL
84,281,6,NULL,KALAMBOLI-09819392983  /  SANPADA HUB-02269494921,0x000000000003F183,NULL
85,301,7,NULL,"December 27, 2017 at 15:04:41  with SIGNATURE",0x000000000003F185,NULL
86,304,2,2017-12-27 21:55:00.000,NULL,0x000000000003F187,NULL
87,304,2,2017-12-28 11:25:00.000,Clearance processing complete at BANGALORE - INDIA	11:25,0x000000000003F188,NULL
88,305,7,2017-12-28 11:30:00.000,Received by  Narshing,0x000000000003F18A,NULL
89,308,15,NULL,Madhya Marg 	28-Dec-2017 	10:42,0x000000000003F18C,NULL
90,309,6,NULL,Dec 28 2017 10:28:31	Mayiladuthurai	Received at Mayiladuthurai,0x000000000003F18E,NULL
91,309,15,NULL,Dec 28 2017 12:10:57	Mayiladuthurai,0x000000000003F190,NULL
92,314,15,NULL,"Thu,28th Dec'17|08:37 hrs	",0x000000000003F192,NULL
93,316,6,NULL,"Thu,28th Dec'17|10:54 hrs		cochin hub",0x000000000003F194,NULL
94,315,2,NULL,"Thu,28th Dec'17|03:26 hrs Forwarded From  Pune ",0x000000000003F195,NULL
95,319,2,NULL,28 December 2017 5:02	Bangalore	Shipment arrived at connection point,0x000000000003F196,NULL
96,320,2,NULL,"Wed,27th Dec'17|22:23 hrs	Forwarded From Chennai RO to Mumbai RO",0x000000000003F198,NULL
97,321,15,NULL,"Thu,28th Dec'17|07:08 hrs ",0x000000000003F19A,NULL
98,321,7,NULL,"  Receiver Name 	murugesh  / Relationship 	office colleague / Thu,28th Dec'17|11:11 hrs",0x000000000003F19C,NULL
99,322,2,NULL,"Thu,28th Dec'17|10:58 hrs	Received at Facility			vijayawada branch",0x000000000003F19D,NULL
100,315,2,NULL,"Thu,28th Dec'17 | 03:26hrs AM  Pune to Waluj ",0x000000000003F1AA,NULL
101,331,33,NULL,28-Dec-2017	17:46 to Bluedart,0x000000000003F1AC,NULL
102,330,33,NULL,28-Dec-2017	17:46 to Bluedart,0x000000000003F1AE,NULL
103,329,33,NULL,28-Dec-2017	17:46 to Bluedart,0x000000000003F1B0,NULL
104,325,33,NULL,Dec 28 2017 15:14:39	Chennai,0x000000000003F1B2,NULL
105,326,33,NULL,Dec 28 2017 15:14:39	Chennai,0x000000000003F1B4,NULL
106,327,33,NULL,Dec 28 2017 15:14:39	Chennai,0x000000000003F1B6,NULL
107,294,6,NULL,"Mon,25th Dec'17 | 10:25hrs	Consignment Received",0x000000000003F1B8,NULL
108,294,33,NULL,"Mon,25th Dec'17 | 13:23hrs	Successfully Delivered To   AARSH RATHOD",0x000000000003F1BA,NULL
109,294,7,NULL,"Successfully Delivered To AARSH RATHOD   Mon,25th Dec'17 | 13:23hrs	",0x000000000003F1BD,NULL
110,308,7,NULL,Received  by Nisha 28-Dec-2017	16:20,0x000000000003F1BF,NULL
111,333,33,NULL,"Booking Date | Time	Thu, 28th Dec'17@1930 hrs",0x000000000003F1C6,NULL
112,333,2,2017-12-28 08:10:00.000,To  HYDERABAD   /  Topay Rs.750 cash only,0x000000000003F1C8,NULL
113,325,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1CE,NULL
114,326,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1D0,NULL
115,327,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1D2,NULL
116,328,2,NULL,28-Dec-2017	08.40 Hrs,0x000000000003F1D4,NULL
117,329,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1D6,NULL
118,330,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1D8,NULL
119,331,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1DA,NULL
120,333,2,NULL,28-Dec-2017	08.10 Hrs,0x000000000003F1DC,NULL
121,334,33,NULL,"Thu,28th Dec'17 | 20.00hrs",0x000000000003F1DF,NULL
122,334,2,NULL,"Thu,28th Dec'17 | 22:05hrs  Moved to Delhi",0x000000000003F1E1,NULL
123,334,6,NULL,"Fri,29th Dec'17 | 10:51hrs	 Recieved  DELHI RO",0x000000000003F1E3,NULL
124,334,2,NULL,Forwarded For Local delivery hub 11.15hrs,0x000000000003F1E5,NULL
125,268,7,NULL,"Thu,28thDec'17|18:00Hrs  Seal and sign",0x000000000003F1E8,NULL
